date,time
5/1/2014,19:00:00
5/2/2014,19:00:00
5/3/2014,19:00:00
5/4/2014,19:00:00
5/5/2014,19:00:00
5/6/2014,19:00:00
5/7/2014,19:00:00
5/8/2014,19:00:00
5/9/2014,19:00:00
5/10/2014,19:00:00
5/11/2014,19:00:00
5/12/2014,19:00:00
5/13/2014,19:00:00
5/14/2014,19:00:00
5/15/2014,19:00:00
5/16/2014,19:00:00
5/17/2014,19:00:00
5/18/2014,19:00:00
5/19/2014,19:00:00
5/20/2014,19:00:00
5/21/2014,19:00:00
5/22/2014,19:00:00
5/23/2014,19:00:00
5/24/2014,19:00:00
5/25/2014,19:00:00
5/26/2014,19:00:00
5/27/2014,19:00:00
5/28/2014,19:00:00
5/29/2014,19:00:00
5/30/2014,19:00:00
5/31/2014,19:00:00
5/1/2015,19:00:00
5/2/2015,19:00:00
5/3/2015,19:00:00
5/4/2015,19:00:00
5/5/2015,19:00:00
5/6/2015,19:00:00
5/7/2015,19:00:00
5/8/2015,19:00:00
5/9/2015,19:00:00
5/10/2015,19:00:00
5/11/2015,19:00:00
5/12/2015,19:00:00
5/13/2015,19:00:00
5/14/2015,19:00:00
5/15/2015,19:00:00
5/16/2015,19:00:00
5/17/2015,19:00:00
5/18/2015,19:00:00
5/19/2015,19:00:00
5/20/2015,19:00:00
5/21/2015,19:00:00
5/22/2015,19:00:00
5/23/2015,19:00:00
5/24/2015,19:00:00
5/25/2015,19:00:00
5/26/2015,19:00:00
5/27/2015,19:00:00
5/28/2015,19:00:00
5/29/2015,19:00:00
5/30/2015,19:00:00
5/31/2015,19:00:00
4/15/2017,19:00:00
4/16/2017,19:00:00
4/17/2017,19:00:00
4/18/2017,19:00:00
4/19/2017,19:00:00
4/20/2017,19:00:00
4/21/2017,19:00:00
4/22/2017,19:00:00
4/23/2017,19:00:00
4/24/2017,19:00:00
4/25/2017,19:00:00
4/26/2017,19:00:00
4/27/2017,19:00:00
4/28/2017,19:00:00
4/29/2017,19:00:00
4/30/2017,19:00:00
5/1/2017,19:00:00
5/2/2017,19:00:00
5/3/2017,19:00:00
5/4/2017,19:00:00
5/5/2017,19:00:00
5/6/2017,19:00:00
5/7/2017,19:00:00
5/8/2017,19:00:00
5/9/2017,19:00:00
5/10/2017,19:00:00
5/11/2017,19:00:00
5/12/2017,19:00:00
5/13/2017,19:00:00
5/14/2017,19:00:00
5/15/2017,19:00:00
5/16/2017,19:00:00
5/17/2017,19:00:00
5/18/2017,19:00:00
5/19/2017,19:00:00
5/20/2017,19:00:00
5/1/2012,19:00:00
5/2/2012,19:00:00
5/3/2012,19:00:00
5/4/2012,19:00:00
5/5/2012,19:00:00
5/6/2012,19:00:00
5/7/2012,19:00:00
5/8/2012,19:00:00
5/9/2012,19:00:00
5/10/2012,19:00:00
5/11/2012,19:00:00
5/12/2012,19:00:00
5/13/2012,19:00:00
5/14/2012,19:00:00
5/15/2012,19:00:00
5/16/2012,19:00:00
5/17/2012,19:00:00
5/18/2012,19:00:00
5/19/2012,19:00:00
5/20/2012,19:00:00
5/21/2012,19:00:00
5/22/2012,19:00:00
5/23/2012,19:00:00
5/24/2012,19:00:00
5/25/2012,19:00:00
5/26/2012,19:00:00
5/27/2012,19:00:00
5/28/2012,19:00:00
5/29/2012,19:00:00
5/30/2012,19:00:00
